Tests bloquedos con '#', desbloquee el cual desee evaluar.
Prueba en SeisCuartos con un agente aleatorio.


Simulación de entorno tipo <class '__main__.SeisCuartos'> con el agente tipo <class '__main__.AgenteAleatorio_SeisCuartos'>

   Paso                    Estado                           Acción            Desempeño   
__________________________________________________________________________________________
    0     ['A', 'sucio', 'sucio', 'sucio', 'sucio', 'sucio', 'sucio']          subir                     0
    1     ['D', 'sucio', 'sucio', 'sucio', 'sucio', 'sucio', 'sucio']           nada                    -2
    2     ['D', 'sucio', 'sucio', 'sucio', 'sucio', 'sucio', 'sucio']         limpiar                   -2
    3     ['D', 'sucio', 'sucio', 'sucio', 'limpio', 'sucio', 'sucio']         limpiar                   -5
    4     ['D', 'sucio', 'sucio', 'sucio', 'limpio', 'sucio', 'sucio']           nada                    -8
    5     ['D', 'sucio', 'sucio', 'sucio', 'limpio', 'sucio', 'sucio']        ir_Derecha                 -8
    6     ['E', 'sucio', 'sucio', 'sucio', 'limpio', 'sucio', 'sucio']          bajar                    -9
    7     ['B', 'sucio', 'sucio', 'sucio', 'limpio', 'sucio', 'sucio']        ir_Derecha                -11
    8     ['C', 'sucio', 'sucio', 'sucio', 'limpio', 'sucio', 'sucio']           nada                   -12
    9     ['C', 'sucio', 'sucio', 'sucio', 'limpio', 'sucio', 'sucio']           nada                   -12
    10    ['C', 'sucio', 'sucio', 'sucio', 'limpio', 'sucio', 'sucio']          subir                   -12
    11    ['F', 'sucio', 'sucio', 'sucio', 'limpio', 'sucio', 'sucio']         limpiar                  -14
    12    ['F', 'sucio', 'sucio', 'sucio', 'limpio', 'sucio', 'limpio']           nada                   -17
    13    ['F', 'sucio', 'sucio', 'sucio', 'limpio', 'sucio', 'limpio']         limpiar                  -17
    14    ['F', 'sucio', 'sucio', 'sucio', 'limpio', 'sucio', 'limpio']           nada                   -20
    15    ['F', 'sucio', 'sucio', 'sucio', 'limpio', 'sucio', 'limpio']         limpiar                  -20
    16    ['F', 'sucio', 'sucio', 'sucio', 'limpio', 'sucio', 'limpio']       ir_Izquierda               -23
    17    ['E', 'sucio', 'sucio', 'sucio', 'limpio', 'sucio', 'limpio']        ir_Derecha                -24
    18    ['F', 'sucio', 'sucio', 'sucio', 'limpio', 'sucio', 'limpio']       ir_Izquierda               -25
    19    ['E', 'sucio', 'sucio', 'sucio', 'limpio', 'sucio', 'limpio']         limpiar                  -26
    20    ['E', 'sucio', 'sucio', 'sucio', 'limpio', 'limpio', 'limpio']          bajar                   -29
    21    ['B', 'sucio', 'sucio', 'sucio', 'limpio', 'limpio', 'limpio']        ir_Derecha                -31
    22    ['C', 'sucio', 'sucio', 'sucio', 'limpio', 'limpio', 'limpio']           nada                   -32
    23    ['C', 'sucio', 'sucio', 'sucio', 'limpio', 'limpio', 'limpio']         limpiar                  -32
    24    ['C', 'sucio', 'sucio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -35
    25    ['C', 'sucio', 'sucio', 'limpio', 'limpio', 'limpio', 'limpio']       ir_Izquierda               -35
    26    ['B', 'sucio', 'sucio', 'limpio', 'limpio', 'limpio', 'limpio']       ir_Izquierda               -36
    27    ['A', 'sucio', 'sucio', 'limpio', 'limpio', 'limpio', 'limpio']         limpiar                  -37
    28    ['A', 'limpio', 'sucio', 'limpio', 'limpio', 'limpio', 'limpio']        ir_Derecha                -40
    29    ['B', 'limpio', 'sucio', 'limpio', 'limpio', 'limpio', 'limpio']        ir_Derecha                -41
    30    ['C', 'limpio', 'sucio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -42
    31    ['C', 'limpio', 'sucio', 'limpio', 'limpio', 'limpio', 'limpio']       ir_Izquierda               -42
    32    ['B', 'limpio', 'sucio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -43
    33    ['B', 'limpio', 'sucio', 'limpio', 'limpio', 'limpio', 'limpio']       ir_Izquierda               -43
    34    ['A', 'limpio', 'sucio', 'limpio', 'limpio', 'limpio', 'limpio']        ir_Derecha                -44
    35    ['B', 'limpio', 'sucio', 'limpio', 'limpio', 'limpio', 'limpio']        ir_Derecha                -45
    36    ['C', 'limpio', 'sucio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -46
    37    ['C', 'limpio', 'sucio', 'limpio', 'limpio', 'limpio', 'limpio']         limpiar                  -46
    38    ['C', 'limpio', 'sucio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -49
    39    ['C', 'limpio', 'sucio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -49
    40    ['C', 'limpio', 'sucio', 'limpio', 'limpio', 'limpio', 'limpio']          subir                   -49
    41    ['F', 'limpio', 'sucio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -51
    42    ['F', 'limpio', 'sucio', 'limpio', 'limpio', 'limpio', 'limpio']         limpiar                  -51
    43    ['F', 'limpio', 'sucio', 'limpio', 'limpio', 'limpio', 'limpio']       ir_Izquierda               -54
    44    ['E', 'limpio', 'sucio', 'limpio', 'limpio', 'limpio', 'limpio']        ir_Derecha                -55
    45    ['F', 'limpio', 'sucio', 'limpio', 'limpio', 'limpio', 'limpio']         limpiar                  -56
    46    ['F', 'limpio', 'sucio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -59
    47    ['F', 'limpio', 'sucio', 'limpio', 'limpio', 'limpio', 'limpio']         limpiar                  -59
    48    ['F', 'limpio', 'sucio', 'limpio', 'limpio', 'limpio', 'limpio']       ir_Izquierda               -62
    49    ['E', 'limpio', 'sucio', 'limpio', 'limpio', 'limpio', 'limpio']         limpiar                  -63
    50    ['E', 'limpio', 'sucio', 'limpio', 'limpio', 'limpio', 'limpio']         limpiar                  -66
    51    ['E', 'limpio', 'sucio', 'limpio', 'limpio', 'limpio', 'limpio']        ir_Derecha                -69
    52    ['F', 'limpio', 'sucio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -70
    53    ['F', 'limpio', 'sucio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -70
    54    ['F', 'limpio', 'sucio', 'limpio', 'limpio', 'limpio', 'limpio']         limpiar                  -70
    55    ['F', 'limpio', 'sucio', 'limpio', 'limpio', 'limpio', 'limpio']       ir_Izquierda               -73
    56    ['E', 'limpio', 'sucio', 'limpio', 'limpio', 'limpio', 'limpio']         limpiar                  -74
    57    ['E', 'limpio', 'sucio', 'limpio', 'limpio', 'limpio', 'limpio']        ir_Derecha                -77
    58    ['F', 'limpio', 'sucio', 'limpio', 'limpio', 'limpio', 'limpio']       ir_Izquierda               -78
